,iVWAPBucket,Side,NotionalTraded
0,-10 - -5 bps,Buy,0.079994
1,-2.5 - 0 bps,Buy,0.031706
2,0 - 2.5 bps,Buy,0.138434
3,10 - 25 bps,Buy,0.296976
4,2.5 - 5 bps,Buy,0.078794
5,2.5 - 5 bps,Sell,0.292118
6,5 - 10 bps,Buy,0.081977
